Job Title,Company,Experience,Level,Salary,Apply Before
IT Officer,Liberty College,More than 2 years,Mid Level,More than 2 years,"Dec 31, 2025"
Program Coordinator – BCSIT,Liberty College,More than 5 years,Senior Level,More than 5 years,"Dec 31, 2025"
Finance Manager,Liberty College,More than 5 years,Senior Level,More than 5 years,"Dec 31, 2025"
Junior Officer – Finance and Revenue,Liberty College,More than 2 years,Mid Level,More than 2 years,"Dec 31, 2025"
Librarian,Liberty College,More than 2 years,Mid Level,More than 2 years,"Dec 31, 2025"
Communication Officer,Liberty College,More than 1 year,Mid Level,More than 1 year,"Dec 31, 2025"
Credit Analyst,Outsourced Experts,More than 1 year,Mid Level,More than 1 year,"Dec 31, 2025"
IELTS Instructor,Alphabet Education Consultancy,More than 1 year,Mid Level,More than 1 year,"Dec 23, 2025"
Accountant,Ram Vicky Trade Concern,More than 1 year,Mid Level,"NRs. 25,000 - 30,000 Monthly","Dec 31, 2025"
Accountant,JJ Marble,More than 2 years,Mid Level,"NRs. 25,000 Monthly","Dec 31, 2025"
Digital Marketing Executive,Nihon Educational and Cultural Center,More than 1 year,Mid Level,"NRs. 30,000 - 40,000 Monthly","Dec 25, 2025"
Study Abroad Counselor,The Metaphor Consultancy - IEC Group,More than 5 years,Senior Level,More than 5 years,"Dec 31, 2025"
Inventory Assistant,East West Concern,Less than 1 year,Entry Level,"NRs. 22,000 - 25,000 Monthly","Dec 31, 2025"
Education Counselor,TWGG,More than 1 year,Mid Level,More than 1 year,"Dec 31, 2025"
IELTS / PTE Instructor,TWGG,More than 2 years,Mid Level,More than 2 years,"Dec 31, 2025"
Office Secretary,TWGG,More than 2 years,Mid Level,More than 2 years,"Dec 31, 2025"
Sales Executive,Kama Jewels,More than 1 year,Mid Level,"NRs. 30,000 Monthly","Dec 31, 2025"
Front Desk Associate,Gurukul Commerce Academy,Less than 1 year,Entry Level,Less than 1 year,"Dec 30, 2025"
Electrician,WorldLink Communications,More than 1 year,Entry Level,More than 1 year,"Dec 31, 2025"
HR Officer,Executive Search- Merojob,More than 3 years,Mid Level,"NRs. 35,000 - 40,000 Monthly","Dec 30, 2025"
Assistant to the Asia Council Chair,Kindernothilfe (KNH),More than 2 years,Mid Level,More than 2 years,"Jan 15, 2026"
Assistant / Officer,Himalayan Everest Insurance,More than 1 year,Mid Level,More than 1 year,"Dec 30, 2025"
FLM Coordinator,ZTE Nepal,More than 8 years,Senior Level,More than 8 years,"Dec 30, 2025"
Logistic Coordinator / Spare Parts Coordinator,ZTE Nepal,More than 5 years,Senior Level,More than 5 years,"Dec 30, 2025"
Senior Accountants,Kathmandu Commerce & Trade (Bravo),More than 2 years,Senior Level,More than 2 years,"Dec 27, 2025"
Admission Officer (UK and Australia),Graduate Studio Counselling Center,More than 1 year,Mid Level,More than 1 year,"Dec 26, 2025"
Retail Salesperson,JJ Marble,More than 1 year,Mid Level,"NRs. 25,000 Monthly","Dec 29, 2025"
Marketing Representative,Siddhartha Hardwares,More than 2 years,Mid Level,More than 2 years,"Dec 27, 2025"
Education Counselor,Click Consulting Group,More than 2 years,Mid Level,"NRs. 70,000 - 120,000 Monthly","Dec 27, 2025"
Market Representative,Kathmandu Commerce & Trade (Bravo),More than 1 year,Mid Level,More than 1 year,"Dec 27, 2025"
Intern,E-Spot Nepal,Not Required,Entry Level,N/A,"Dec 18, 2025"
HR Executive,Millsberry School,More than 5 years,Senior Level,More than 5 years,"Dec 27, 2025"
Education Counselor,Vivid Education,More than 1 year,Mid Level,"NRs. 325,000 - 750,000 Yearly","Dec 26, 2025"
Marketing Executive,Siddhartha Hardware and Suppliers,More than 2 years,Mid Level,More than 2 years,"Dec 27, 2025"
Sales Executive,Aircon Nepal,More than 1 year,Mid Level,More than 1 year,"Dec 26, 2025"
Business Development Officer,Campus Transfer,More than 2 years,Mid Level,"NRs. 25,000 - 50,000 Monthly","Dec 27, 2025"
Sales Officer,Times Business,More than 1 year,Mid Level,More than 1 year,"Dec 22, 2025"
Operations Head,Nepal Senior Care,More than 5 years,Mid Level,More than 5 years,"Dec 17, 2025"
Education Counselor,Visa Alliance,More than 2 years,Mid Level,More than 2 years,"Dec 21, 2025"
Sales Executive,Nepal Petro Lube Industries,Equal to 1 year,Entry Level,Equal to 1 year,"Dec 26, 2025"
Social Media Handler,Discovery World Trekking,More than 2 years,Mid Level,More than 2 years,"Dec 26, 2025"
Field Sales Representative,A Tobacco Company,Not Required,Entry Level,"NRs. 22,000 - 33,000 Monthly","Dec 17, 2025"
Manager,Himal Store,More than 2 years,Mid Level,"NRs. 30,000 Monthly","Dec 26, 2025"
